,평점,날짜,후기
0,3.9,2024.04.27.,수선화없어서 입장료5000원
1,5.0,2024.04.17.,토종 수선화 명소
2,3.0,2024.04.12.,수선화
3,4.5,2024.04.10.,"축제관리를 깨끗하게 잘 하는것같아요. 성수기인데도 주차도 딱딱 구분하고 축제장도 질서있고 깨끗해서 좋았습니다. 8천원 입장료 비싸다고 생각했는데 넓은 면적에 가득한 꽃들보니 아깝지않네요. 주차해주시는 어르신들 고생많으십니다. 
오늘 정말 예쁘게 피었습니다. 이번주가 제일 예쁠것같아요"
4,4.1,2024.04.08.,
5,3.5,2024.04.06.,"입장료 내고 들어가는데
주차통제하는 노인분들은 고함지르시고
기분이 좋지 않네요"
6,3.8,2024.04.05.,예쁘게 만개한 수선화 물결속 꽃 만큼이나 사람도 많은 시즌이네요. 평일에도 나들이객이 넘치는 곳.
7,5.0,2024.04.04.,
8,3.9,2024.04.02.,"사람 많다길래 아침 일찍가서 좀 추운 거 빼곤 ㄱㅊ
근데 화장실도 열악하고 입장료는 5000원 정도가 적절할 듯 이번주에 가면 더 좋을 거 같음"
9,4.7,2024.04.01.,"뷰는 좋으나 행사를 이유로 입장료 올려서 받아먹는게 좋아보이진 않았음.

인당 8천원"
10,4.9,2024.03.31.,한번쯤 가볼만한 곳입니다.
11,3.6,2024.03.27.,"개인이 조성한 공간임은 이해하나 입장료는 비쌈. 개인 8천원, 경로 7천원,,
입장료를 받고 대체상품권등을 발행해서 그 내부에서 소비할 수 있도록 하면 좋지 않을까,,생각함. 간단한 카페 운영도 하고, 다육식물도 겸사 사가게 하면 좋을텐데..,, 아쉬움."
12,2.7,2024.03.22.,"24년 3월22일
아직은 수선화가 많지 않아요.
그래도 바람쐬고 좋네요~
3월 말이나 4월초에 가면 좋을듯요"
13,4.5,2024.02.22.,"수선화가 피는 계절에 가면 한옥과 수선화 언덕이 신비로운 분위기가 있다. 
주차공간 넉넉하지만 주말에는 비추"
14,2.6,2024.01.11.,"소나무숲 산책하기 좋아요, 수선화 필 때 가면 예쁠것 같아요
가옥은 그다지 관리가 잘되는것 같지 않네요"
15,3.8,2023.11.28.,"수선화 피는 계절에 꼭 들릴만한 곳
생소한 꽃이지만, 만개한 수선화가 엄청나다
입구부터 곳곳에 뒷산까지 수선화동산임"
16,3.9,2023.10.18.,"수선화철이 아니더라도 솔숲길이 좋았다. 사랑채의 주춧돌을 앞에는 다듬어서, 뒷쪽은 천연석을 썼다. 비자나무 외에 400년 된 감나무도 있다. 그런데 더욱 놀란 것은 오래된 탱자나무였다. 탱자나무 울타리는 들어봤어도 탱자나무를 유실수로 심는 것을 본 적이 없어서다. 석불과 선정묘, 그리고 유상묵가옥까지 둘러보기 좋다. 유상묵가옥은 유기방가옥보다 문화재번호가 하나 빠르다."
17,3.8,2023.05.19.,시람반 꽃 반이라 넘 번잡하긴한데 그래도 꽃밭이뻐서 가볼만은 해요~
18,5.0,2023.05.16.,
19,2.5,2023.05.13.,"수선화도 별로 없는데 관람료를 받네요
만개한 수선화가 가득이면 몰라도 듬성듬성
그래서 입구에서 보고 왔어요"
20,3.5,2023.05.09.,"수선화 명소네요
활짝필때가면  좋아요"
21,4.1,2023.05.09.,돈에 비해 볼 게 없어영
22,4.8,2023.05.08.,수선화는 너무 예뻤지만 입장료는 비싸게 느껴지네요.
23,4.2,2023.05.07.,
24,3.4,2023.05.06.,
25,2.6,2023.05.03.,
26,4.3,2023.04.10.,"수선화 밭에 사진 찍기 괜찮았음. 수선화 외에 볼게 없고 입장료도 싼편이 아니라 두번은 안올듯.
주차 넉넉했음"
27,2.2,2023.04.02.,"먼지 먼지 흙먼지에 도떼기 시장 화장실 흠…
꽃은 너무.이쁨
주말에 가면 나올때 차에 갇힐수도"
28,2.8,2023.03.30.,휠체어타는 장애인이 올곳은 아닌데 미리 안내도 안해주고 돈만 받네요. 장애인 편의시설이 전혀 없어서 입장하고 다시 돌아나왔습니다.
29,4.0,2023.03.29.,"입장료 8천원은 아닌 듯..  수선화도 개량종인지 다 작은 수선화임. 3/18일 기준으로 방문했을 때 남쪽방향
따뜻한 곳만 수선화 만개했고 좀 지나면 그 부분은 질 것으로 보임. 주차하는 곳이 흙길인데 차 들어오고 나갈때마다 흙먼지 뒤집어써야함. 생각보다 유기방 가옥 작은데 인스타때문에 그냥 뜬듯. 입장료 창렬임."
30,3.2,2023.03.23.,30분 이면 다돌아보고도 남을곳 입장료8000천원은 이건 아닌듯...
31,1.0,2023.03.23.,
32,1.0,2023.03.20.,"꽃 거의 안 피었는데 제가격 다 받고 볼 것도 없고
다시는 안 갈 듯....."
33,3.0,2022.05.01.,유기방가옥 갔다가 대실망! 수선화가 떨어졌다고 입구에서 안내해쥤더라면 헛걸음 안했을텐데. ..입장료 성인 5000원은 너무 창열이에요.  솔직히 500원도 아깝다.
34,1.0,2022.04.24.,"수선화 볼 샹각이라면 오지 마세요
다 시들어서 꽃구경 할 수 없답니다
게다가 압장료가 7천원이나 되어 사기든 기분입니다"
35,3.6,2022.04.23.,시든 수선화가 아니어도 입장료가 너무 ...
36,2.3,2022.04.20.,"시설 대비 입장료 비싸고 7000원.  볼 것. 쉴 곳 부족    입구에 장사꾼만 가득 ,어수선. 농업용 비닐끈으로 펜스,들어가면 벌금 10만원?..휴지통이나    휴식벤치 부족  (부서진 벤치는 봤음) . 옛 가옥은 관리 안되 먼지 가득 ,곳곳 쓰레기..
재방문 의사 없음"
37,1.0,2022.04.18.,"돈아깝고 시간아까워요
볼것도 없고, 먹을것도 바가지 요금이고요
사람만 바글바글

그냥 작은 동산에 돈벌려고 수선화만 심어놓음

그리고 산길이 경사가 심하고 미끄러우니까 노인이나 어린이들은 필히 거르세요

입장료 7천원 내고 집 한채 딸랑 구경할바에야 가까운 민속촌이 훨씬 낫습니다"
38,3.4,2022.04.15.,"입장료 7,000원은 가성비로 볼 때 너무 심한 것 아닌가 느껴집니다.
그냥 수선화만 있는 건데........."
39,3.3,2022.04.15.,"다 좋은데

거 이상한 음악들은 틀지말았으면..
그냥 조용한 연주곡이나 국악이나 틀어유
동네 색소폰같은거 와서 분위기맘 망치고..쩝"
40,3.5,2022.04.12.,넓은 부지에 수선화를 아름답게 많이 심어놨어요. 그런데 산으로 아무리 아무리 올라가도 정체 모를 음악이 스피커에서 끊임없이 나와 정신이 없어요.. 꽃과 풍경 감상이 아니라 이 음악으로부터 탈출하고 싶다는 생각 뿐이었어요. 사람 많은 거야 꽃 피는 철이고 유명한 곳이니 당연한 것이겠지만 장소와 어울리지 않는 음악은 조절해 주셨으면 해요.
41,2.2,2022.04.05.,"사진찍을 수 있는 포토존, 꽃이 너무 아름다웠지만 입장료 끊는 사람이 바보입니다. 티켓 검사도 안하고, 꽃을 밟고 들어가서 사진찍는 사람들 정말 몰상식해보였어요 사진이 뭐길래 저렇게까지 하나 대한민국에 이렇게 무식한 사람들이 많나 생각 들었답니다. 반성하세요."
42,4.3,2022.04.03.,멋져요
43,4.4,2022.04.02.,"아직 덜폈어요
입장료7000원비싸게 느껴짐"
44,4.1,2022.04.02.,"여유롭게 고풍스런 분위기 느끼려 갔는데,
얼마나 광고를 해댔는지,
- 사람은 며 터지고,
- 어울리지 않는 뽕짝 음악에,
- 아줌마, 아저씨들 섹소폰 불고 있고,    (행사 기획자가 대략 60대??)
- 아이들 체험거리는 없고,
- 화장실은 간이화장실에, 물도 안나오고,
수선화는 주차장 언덕에 있는 수준이더만요..
들어갈 때 20~30분 걸리고,
나올 때 20분 걸리고..
이게 축제인가.. 볼거리, 먹거리 없고..

차라리, 
조용하고 은은한 가야금 배경음악 틀어놓고,
아이들 체험꺼리 만들고,
앉아쉴 공간 더 만들고 했으면 더 좋았을 것 같음.
수선화 1/5도 안피었는데, 수선화요금 받는것도 아이러니 ㅋ
우리가족이 제안하는 적당한 요금은 2천원 수준임.(30분이면 다 돌아봄)  7천원 너무 비싸요 ㅡㅡ"
45,3.3,2022.03.16.,Daffodils
46,4.2,2022.01.21.,입장료 없을때가 좋았다. 어느정도 내는것도 좋으니 관리를 잘해주시길!
47,5.0,2021.05.09.,
48,4.0,2021.04.30.,수선화 사진 명소
49,2.7,2021.04.13.,"입장료내고 가보기에는 좀아쉬습니다.
수선화꽃이 80%는 지고없고 탐방로정비가 잘되지않아서 미끄럽고 한번은 가보지만 재방문은 안할것 같아요.."
50,4.2,2021.03.24.,
51,3.6,2020.07.23.,수선화 다필때가니깐 난 좋던데..
52,4.1,2019.11.03.,식당은 절대로 가지마세요.곰탕최악~! 고기냄새나고 맹탕~
53,2.5,2019.10.03.,"수선화보러
한번은 사진찍으러 갈법도함
2번갈 곳은 아님"
54,2.3,2019.03.25.,"수선화축제라고 갔는데 이제 준비하는 모습과 꽃은 10%만 봤고 피지도 안했어요  5천원 입장료 다받아요
개화시기를 못맞추었다고 하는데 그럼 요금이라도 할인해야 하는데 무척 아쉬웠다
지금가면 후회"
55,4.0,2019.03.23.,수선화축제를 갔는데 있는 것에 비해서 입장료가 너무 비싸네요 어른은 인당 5천원에 미취학 아이도 3천원을 받더군요. 입장료가 많이 아깝습니다.
56,2.7,2018.12.08.,
57,3.8,2018.04.08.,"초입에만 수선화 이빠이!!

위로올라가면갈수롤 꽃도 듬성듬성;;

왜 이곳이 이렇게까지 인기가 있는지 모르겠음;;

메인으로 갈곳은 못됨"
