,평점,날짜,후기
0,1.0,2024.04.26.,"2024.04.26일 방문했다.
입장료가 10,000원이다.
솔직히 1,000원도 아깝다.
볼만한 수목도 화초도 없었다.ㅜ.ㅜ"
1,4.5,2024.04.22.,"입장료가 10000원인데 그에비해 볼것이 너무너무없다 평일에 가서 사람이없어 한적하니 좋았지만 관리된 수목원의 느낌이 아니라 그냥 흙있는 땅에 여긴 튤립, 여긴 홍가시 이렇게 턱턱 심어놓은 느낌 ㅜ 이게 뭐노 에휴"
2,4.4,2024.04.21.,
3,4.1,2024.04.19.,"매표소 아줌마 
가르치려는 말투로 짜증나는 여자
입구에서부터 기분 잡쳐서 들어갔는데 
정말 볼거 1도 없음 
십분도 구경할거 없고 바로 되돌아 나왔음
너저분하고 귀신나올것 같은곳에서 
아까운 시간 보내고 싶지 않음
동네 공원보다 못함 
아무리 겨울이라도 관리가 너무함
시간 아까움 남의돈 날로먹는 날도둑 임
 강아지입장가능해서 부천에서 갔음
입장료는 드릅게도 비쌈 
동네에 있고 입장료 천원정도면 한번쯤 가보겠음
매표소 한번 소심하게 째려보고 나왔음
사유지 대충 조성해서 입장료 장사 하나봄
후기 자세히 안보고 찾아간 나의 불찰임
으미 돈 아까워"
4,4.5,2024.02.22.,"입장료 부담이 있지만 대지가 넓고 여유롭게 걷기 좋아한다면 추천하는 장소. 
가을에 가면 핑크뮬리, 팜파스가 있다"
5,4.0,2024.01.19.,
6,5.0,2023.11.24.,
7,4.3,2023.11.12.,"핑크뮬리가 핑크색이 많이 빠져있고 특별히 볼건 많지는 않지만 넓어서 산책하기 좋았어요
입장료는 많이 비싸요 .."
8,4.0,2023.11.04.,
9,2.0,2023.10.26.,
10,3.9,2023.10.18.,1인당 12천원. 너무 비싸다. 팜파스는 헐벗었고 뮬리는 핑크가 아니라 브라운이었다. 동선이 불분명했다.
11,4.3,2023.10.18.,입장료가 다른 곳에 비해 비싸네요…
12,1.0,2023.10.17.,"관리가 너무 안되는 느낌이었어요
알파카 전방 100미터 전부터 냄새 납니다
알파카 및 다른 동물 제발 관리좀 해주세요
동물들이 여기저기 피부병에 너무 불쌍해요
입장료 12000원 받아서 제발 관리좀요"
13,3.9,2023.10.15.,입장료에 비해 볼 건 많이 없었어요. 관리가 많이 되는 느낌은 아니었어요.. 토끼 귀여워요 😍
14,4.8,2023.10.14.,
15,4.5,2023.10.11.,가보고 싶네요
16,3.7,2023.10.07.,2023.10.06 오전 방문. 청산수목원을 찾아간 이유 2가지. 팜파스글라스와 홍가시나무였는데 팜파스원 ok. 홍가시원은 어디? 실망 팍팍. 2시간30분 즐겼다
17,4.2,2023.10.06.,"갈대, 핑크뮬리명소로 산책로가 잘 조성되어 있어요.
근처에 식사할 곳이 마땅치 않았고 몇 없는 맛집은 웨이팅이 길어요. 식당은 대부분 오후 3시에 닫아서 식사시간 쯤 오시는 분들은 미리 끼니를 챙기고 오시는 게 좋을 것 같아요!"
18,1.3,2023.10.02.,와 입장료 비싼거에 비해 넘 별로예요! 인스타용 사진 몇장 건지자고 이돈 주고 가는건 아니라고 봅니다ㅠㅠ
19,3.0,2023.10.01.,"관리가 너무 억망입니다
손님을 맞이하고 입장료 적지않은 금액인데도
입장료:12,000원 그레도 어느정도 괸리나 정리를 해야지 너무 실망입니다 
멀리서 가족끼리 방문했는데 후회 스립네요
다시는 오고싶지 않네요."
20,3.8,2023.09.24.,"9월 중순이면, 팜파스그라스가 아름다운곳 
산책로 곳곳에 핑크뮬리 꽃무릇 등의 다양한 식물들이 가꾸어져 있어 언제가도 괜찮을듯"
21,4.1,2023.09.22.,볼만한게 많아서 좋아요
22,3.7,2023.09.21.,"최악임 관리하나도 안되어있고 더러움 사진에 속아서 갔는데 실물은 냄새나고 최악입니다 
가격도 비싼데 천원도 아까운 퀄리티"
23,1.0,2023.09.10.,별점1점도 아깝습니다. 팜파스축제라고 해서 갔는데  인스타그램용 포토스팟으로 끝입니다. 1만2천원 입장료에 비해 너무 부실합니다. 적정요금 3천원어치라고 생각합니다.
24,3.6,2023.08.26.,"여러분!!!!!애견동반 가능합니당💖 인당 1만원 입장료와 강아지 견당 3천원 입장료가 있지만 애견인에게 이런곳 넘나 감사하죠 🌷
정말 더웠지만 쨍한 날씨 덕에 더 푸르러보였어요! 
중간에 카페에서 커피 마시며 쉬기에도 좋았습니당 
다음에 선선해지면 또 오고싶어요 ~"
25,5.0,2023.07.22.,굿잡
26,5.0,2023.06.13.,그래도 아이와 함께 산책하기 좋음
27,3.6,2023.06.01.,5월 중순에 방문했는데 이제 조성중인 수목원으로 뙤약볕에 홍가시나무외에 볼꺼리가 너무도 없었습니다. 1만원 입장료 아까웠습니다.
28,4.6,2022.11.22.,볼거리가 아예 없는 건 아닌데 입장료가 비싼 편이고 휠체어 사용 정말 힘들어요
29,1.5,2022.11.12.,11000원..ㅋㅋㅋㅋㅋㅋㅋ개비쌈
30,3.1,2022.10.31.,간 거 후회해요 식물들 상태도 별로고 돈 아까워요
31,4.3,2022.10.23.,"홍가시나무묘목~~~
2022.10.22
팜파스. 핑크핑크뮬리명소 나들이 
11,000원
9,000원  좀 비싸긴한데  값어치 하네요,"
32,4.2,2022.10.22.,돈값못해요..
33,3.3,2022.10.17.,그냥 그래요 ᆢ입장료가 비싸요
34,4.5,2022.09.24.,가격이 좀 비싸긴 했지만 괜찮네요
35,3.0,2022.09.14.,
36,3.8,2022.08.20.,8월 기준 연꽃과 푸른 풍경이 보기 좋았음
37,4.5,2022.07.09.,너무너무 예뻤음. 사진 스팟도 많고 쾌적하고ㅠ 최고였따
38,4.2,2022.07.07.,푸릇푸릇하니 힐링이었던 수목원이었어요. 태안 여행 중에 들러보길 잘했네요. 연잎 아이스크림도 시원하고 입가심하기 좋았어요. 밥 먹고 들러보기 좋아요.
39,1.5,2022.06.05.,"입장료는 비싸고, 수목원 구성은 볼 게 별로 없는 것 같습니다."
40,4.5,2022.06.01.,"한적하고 시원한 바람부니 좋았네요.

특별한 건 없는 듯해요"
41,4.8,2022.05.08.,"9월에 핑크뮬리랑 팜파스그라스 실컷 보고 왔어요. 수목원이라 아무래도 계절에 따라 호불호가 갈릴듯 합니다. 저는 가을에 가서 연꽃이 다 말라있었는데 물어보니 연꽃은 여름에만 핀다고 하더라구요. 중간중간 포토스팟이 있어서 가족들이랑 가서 추억사진 많이 건져왔네요ㅎㅎ 입장료는 성인 9천원, 청소년/경로는 7천원입니다. 애견동반 가능. 가실 분들은 참고하세요!"
42,1.0,2021.11.28.,진짜 매표소 여직원 아줌마 싸가지 ♬♪♬없다 ㅋㅋㅋ 손님대하는 태도가 그냥 나너랑 싸우고싶어 말투던데 진짜 기분좋게 놀러갔는데 그날 하루종일 기분 안좋아졌네
43,3.5,2021.11.11.,입장료에비해 생각보다 볼게ㅜ별루없더라구용^^...
44,2.3,2021.10.31.,아까움
45,3.6,2021.10.17.,"사유지 같네요
관리도 안돼있는 건 둘째치고 뭘 잡다한 걸 다 때려박아놨는지… 
천지창조에,, 승탑에..펭수 따라한 듯한 펭귄 조형물도 있고 ㅋㅋ 돈아까워요ㅜ"
46,4.2,2021.09.20.,
47,1.2,2021.05.12.,
48,3.9,2021.05.08.,"8000원 가치를 절대 못함
관리를 하나도 안해놓고선
입장료받는게;;;;;;;
요즘가면 볼거 1도없음"
49,3.8,2021.05.05.,홍가시나무 굿~
50,2.0,2021.02.28.,"겨울에는 볼거없음 돈아깝
입구가는 길 사진한컷 찍고 찍을곳 볼곳이 없음"
51,3.6,2020.10.27.,"도시락싸가도 먹을곳없고
아기음료나간식 꼭 싸가세요
벌레는 별로없고 너무좋아요"
52,3.2,2020.10.23.,"너무너무 좋앗어요 생각보다 크고 곳곳마다 팜파스와 핑크뮬리가 잇어서 사진찍을곳도 많앗습니다
10시에가두 사람들이 어느정도 잇엇네요
다음에 또오고싶고 태안에서 꼭 들여야한다면 여기 추천할래요~~♡♡"
53,3.1,2020.10.19.,10명의  일행이 모두  9000원  아깝다고 3000원이 적정가격  천리포수목원 더 좋은것  같음
54,4.4,2020.10.08.,
55,1.0,2020.09.27.,"금일방문 했었는데... 핑크 뮬리 축제라고 하기는 참 민망한 정도 이고,  볼거리 및 사진찍을 만한 곳 한두곳 제외하곤 갈만한 곳은 아닙니다.... 개인적으로 보았을때 8천원 보다 4천원만 받아도 되겠어요.  가족단위로 갔었는데 수업료 냈다고 생각 하고 이제 안갑니다."
56,3.7,2020.09.15.,"당연한 말이지만 방문전 날씨확인 중요합니다.
사진찍을 포인트들이 매우많아서요 ^^ 말이 수목원이지 이곳은 거의 전체가 포토존이라고 봐도 무방하구여~ 인생샷 건지기에 매우좋은곳."
57,3.5,2020.09.14.,여기 리뷰 왜 낮지 ? 8천원이라서 ? 그값 하는 것 같은데; 수목원 사설이면 원래 이 값해요... 사진 캐 잘나와서 상당히 만족하고 나옴 팁! 초반에 사진 많이 찍는 것도 좋은데 출구 전 코스가 더 좋은듯
58,3.7,2020.08.09.,"충청남도 태안에 위치한 ""청산수목원""은 계절별로 자라는 다양한 식물과 볼거리를 제공합니다. 그 중에서도 각 구역을 나누는 다양한 문과 기둥도 볼거리 중 하나입니다. #청산수목원 #태안여행 #충청남도여행"
59,3.5,2020.02.09.,4월 말까지 영업 안함.
60,5.0,2019.12.31.,댕댕이 대리고 다녀왔는데 넘 좋았어요ㅠㅠ 심지어 댕댕이는 꽁짜라 개이득. 주차장 거의 찰정도로 사람 많은 날이었는데도 넓어서 사진도 여유롭게 찍을 수 있고 분수같은것도 있어서 강쥐랑 물 맞으면서 놀고 카페도있어서 앉아서 쉬고 하ㅠㅠ 카페앞에는 또 진짜 넓게 잔디밭있어서 사람없을때 강쥐 풀어놓으니까 발광하면서 뛰댕기기도하고ㅋㅋ 미로도 있고 신전같은것도있고 팜파스도 있고 가로수길도있고 연꽃도있꼬 아오 사진찍느라 죽는줄.. 입장료에 비해 넘 알찼는데.. 왜 이렇게 평이안좋은지 ㅎㅅㅎ; 부지런히 찾아다녀보세요!! 좋은데 많아요.
61,5.0,2019.12.09.,가족들이랑 산책하기 좋은 곳입니다. 태안에 또 간다면 재방문 의사 있습니다.
62,5.0,2019.11.29.,여름에 갔다왔는데 이제야 후기 남겨요! 안면도 갔다가 서울 오기 전에 들렸는데 넘 좋았어요 ! 잘 닦인 길도 있고 아닌길도 있었는데 남자친구랑 도란도란 걷기 좋았어요. 사진도 많이찍고 ㅋㅋ 강아지가 같이 갈수 있어서 좋았는데 강아지가 제일 좋아했어요 ㅋㅋㅋㅋ 사진찍기에 넘 좋아요!!
63,3.7,2019.11.29.,평 안좋아서 걱정하고 갔는데 생각보다 좋던걸요; 낙엽이 예쁘게 지고 선선하니 가족들과 힐링하고 왔네요~~~~! 애기랑 같이 갔는데 유모차 대여도 해주시더라구요 유모차 안가져가도 될껄 그랬어요.
64,2.3,2019.11.02.,돈 값은 좀 부족
65,3.4,2019.10.27.,진짜 쉣이에요 가격도 비쌈8천원이고 예쁘지도 않고 다 시들었고 핑트뮬리가 아니라 탈모뮬리고요 거의 누워서 찍어야할정도 크기입니다. 다른곳으로 가세요.. 나 로마의장군 막시무스가 선언합니다
66,2.8,2019.10.10.,"누가 간다면 말리고 싶어요 핑크뮬리, 팜파스 진짜 적어요 평일에 간다면 모를까 주말, 공휴일은 너무너무 비추입니다 특히 8천원 내고는.. ㅠㅠ"
67,1.8,2019.10.09.,"입장료 대비 진짜 별로임.
인접 농지랑 구분도 안돼 있는 등 관리상태가 영 안좋음.
인근 주민이 아니라면 멀리서 시간내서 갈 생각은 절대 노노."
68,1.7,2019.10.06.,"입장료 대비 정말 별로에요

수목원 절반은 연꽃잔해들만 가득있고
군데군데 팜파스 핑크뮬리 조금있어요

사람구경하러갈 생각 아니시면 비추요
차라리 안면도 수목원이 나아요"
69,3.2,2019.09.17.,"입장료 8천원 
좀 비싼편입니다 

사진 찍을만한 곳은 좀 있는데 가성비 대비 좀 아쉬움이 있습니다
한번은 와 볼만 두번은 아닌듯 합니다"
70,4.1,2019.08.26.,사진도 너무 이쁘게 나오고 특히 억세있는곳이 좋았다. 아침일찍오면 사람도 없어서 서울의 어느곳을 다녀도 찍을 수 없는 사진들을 얻었다
71,4.7,2019.07.22.,"연꽃이 수목원에 절반을 차지함
입장료 비쌈"
72,4.7,2018.11.30.,sns보고 가면 후회해요 입장료 아깝다는거보고 설마하고 갔는데 진짜 실망이에요 입장료 진짜 싼것도아니고 여기까지 오는거 진짜 후회합니다 별로에요.. 완전실망
73,5.0,2018.11.10.,
74,4.0,2018.11.09.,
75,3.0,2018.11.09.,진짜별로에요 입장료도 아까워요 다사진빨 같아요
76,1.0,2018.11.09.,엉망이에요 입장료 아까워요. 주차도 힘들고 안에 수목원인데 말라죽은 식물이 많아서 놀랬네요. 사실 별 1개도 안주고 싶어요
77,3.6,2018.11.05.,"입장료 7천원은 조금 오바입니다
사진찍기 좋은 장소에요 
관리는 나름 하고 있는데 뭐랄까
정말 꾸며진 정원 느낌이였어요 
아이스크림은 맛있습니다"
78,2.8,2018.10.21.,관리상태 엉망 절대 가지마시오
79,4.5,2018.10.09.,요즘 핫해져서 사람이 너무너무 많치만 입장료에 비해 아깝다는 느낌임.. 한철장사하는듯..
