,평점,날짜,후기
0,3.6,2024.04.25.,재방문한 곳
1,5.0,2024.04.09.,
2,4.9,2024.04.06.,
3,4.0,2024.02.10.,
4,3.5,2024.02.03.,조용하게 산책하기 좋네요
5,2.9,2024.01.30.,헐....이런곳을 입장료 6천넌 이나 받다니...내포 보부상촌 이후 두번째로 돈아깝다는 생각이 든다
6,3.6,2024.01.24.,
7,3.4,2024.01.21.,
8,5.0,2023.12.28.,
9,3.2,2023.12.17.,"두번갔는데
갈때마다 너~~ 무 좋아요
관리도 잘되어있고 힐링하기 좋아요"
10,4.6,2023.12.09.,산책로. 아이와함께 가면 더욱 좋습니다. 오랜 시간 많은 정성으로 가꾸셨군요.. 입장료가 다소 비쌉니다
11,4.4,2023.12.02.,알흠다워요 오마이갓..
12,4.7,2023.11.14.,"예매한 후 방문 했는데 가을 끝이라 시든 꽃과 잎들이 쓸쓸했지만 주변의 뷰는 힐링 하기 정말 좋은 천상의 정원이다
따듯하고 꽃피는 화창한  봄날에 다시 오고 싶다"
13,4.4,2023.11.10.,입장료 카드결제 됩니다
14,3.2,2023.11.09.,"수생식물학습원 = 천상의 정원
힐링, 여유, 사색 그리고 음악과 함께하는 산책로
거기다 가슴이 탁 트이는 대청호의 뷰까지..
이국적인(하지만 실제류 사람들이 거주하는 공간인) 건물들이 주변 자연과 더불어 아름다움을 더하고 지저귀는 수많은 새들이 왜 이곳 정원의 이름을 '천상의 정원'으로 지어도 어색하지 않은지 느낄 수 있다.
반드시 예약을 하고 방문해 매표해야만 입장 가능.
일요일 휴관"
15,2.2,2023.11.04.,국가유공자할인은 하지말지~ㅜㅜ 1000원 할인에 디지탈관광할인자는 복수할인 안됨?  생색내기용  국기유공자할인은 없는거로~
16,4.6,2023.10.28.,
17,4.5,2023.10.27.,
18,5.0,2023.10.16.,
19,4.0,2023.10.09.,
20,4.6,2023.10.09.,"예약제로 운영 되는곳 입장료가 비싸다는 생각은 입구에 들어서는 순간 사라져 버립니다
나무와 바람과 새 소리가 힐링을 주는곳 
천천히 걷기 좋은곳
일찍 가는걸 추천"
21,5.0,2023.08.29.,
22,4.2,2023.08.25.,"여름에는 너무 더워요 가을에 가시면 좋을 것 같아요
좁고 가파른 계단이 많으니 조심하세요!"
23,2.6,2023.08.25.,이름을 바꿔 달아보면 대청댐위에 수생식물과 함께 떠있는 아름다운 정원 쯤. 봄 가을에 연인과 함께 가면 좋을듯.
24,3.8,2023.08.14.,입자료도 싸고.  경치는 가을이  더 좋을것  같아요~~~~
25,4.4,2023.08.12.,"뷰는 예쁜데,,, 인스타에서 찍은 사진들은 거의 드론뷰라서 그냥 카메라로 담기는 어렵더라구용 ㅠㅠ 그래도 한번쯤은 가볼만합니다 건물이 예뻐용"
26,4.4,2023.07.29.,"뷰가 정말 멋진곳이네요.
카페가 있었는데 들어가진 않아서 모르겠고 예쁜공간들이 많아서 찍는대로 풍경이되는듯요.
서늘할때 다시 방문해보고 싶어요."
27,4.0,2023.07.18.,
28,4.0,2023.07.11.,
29,3.3,2023.07.06.,"비싼커피마시러옴. 가격대비볼게없어요. 한2천원만 받으시는게 나을듯.
날이좋아서 다행이었네요
아 그리고 좁은문들어갈때 어떤아주머니 머리부딪치고 난리났었음 조심하세여"
