,평점,날짜,후기
0,3.9,2024.04.27.,수유실도 있고 구경하기 좋아요
1,3.5,2024.04.07.,
2,3.5,2024.04.01.,월요일 휴무라 나와서 가다가 돌아올뻔함. 아직 꽃은 이르지만 벌써 덥기시작. 입장료가 쎄다.. 경로우대도 3000원 낸다. 욕을 많이 먹나보다 직원에게 잘 대해달라고 안내판이 있다.
3,4.4,2024.04.01.,
4,3.5,2024.03.22.,---
5,4.0,2024.03.09.,"만든것은 전두환이고 그래서인가 곳곳에 전두환위주로 전시된게 있어서 이부분을 아쉬워하는 분들 많을겁니다.이승만 박정희 관련도 많고요 정치이념적으로보다 자연이나 볼거리위주로 열린마음으로 봤으면 좋겟어요.

노무현때 개방결정되서 국민들이 구경하게 되었는데 막상 노무현관련해서는 전시실이나 관련전시같은게 너무 없고 구석진곳에있네요.

정치적은건 빼고 보면
대청호수 보기 시원하고 좋고
트인잔디밭 그리고 전망대 
각종전시관까지 또 가고싶은곳이에요"
6,4.6,2024.03.04.,
7,1.0,2024.01.13.,
8,4.4,2024.01.11.,
9,3.5,2024.01.10.,
10,3.8,2024.01.06.,청주에서문의지나한생체험학습좋음
11,3.4,2024.01.04.,"산책로 매우 만족스럽습니다..
시간되시는 분은 3시간 잡고 찬찬히 둘러보시면 좋을것 같아요…
전 담에 한번더 가려고 1/2만 보고 나왔습니다.."
12,3.8,2024.01.01.,여유롭게 여러번 가야 볼수있겠어요. 이곳을 개방하지 않고 대통령의 휴식과 재충전의 공간으로 계속 사용했어도 좋았을걸 이란 생각을 했던
13,4.7,2023.12.21.,너무 기대하고 가서 그런가 그만큼은 아닌것 같아요
14,4.0,2023.12.14.,
15,4.4,2023.12.10.,단풍철에는 진입부터 주차까지 엄청난 기다림이 필요했지만 구경하기는 좋았습니다.
16,4.8,2023.12.06.,
17,3.1,2023.11.24.,가족과 가을여행 강추
18,4.5,2023.11.16.,"산책, 나들이 하기에 좋고 정말 제대로 보려면 반나절 이상은 투자해야 할 것 같습니다.

주차장 입구가 한 곳 뿐이라 피크타임에는 주차하기까지 시간이 꽤 걸립니다."
19,4.0,2023.11.06.,"과히 대통령 별장 답내요.
다 둘러볼려면 아침일찍와서 하루종일 봐야 할 정돕니다.
계절별로 와도 좋겠고 힐링하고산책하기 너무 좋습니다."
20,2.4,2023.11.04.,최고의산책로
21,4.0,2023.11.04.,"너무 예뻐요~
다만 사람이 너무 많으니 무조건 일찍 가야함"
22,3.6,2023.10.31.,
23,4.1,2023.10.23.,
24,3.0,2023.10.22.,산책로 포토존
25,4.5,2023.10.21.,"둘레길 등 경치가 정말 좋습니다.
하지만 간다면 ☆오전에 가세요!!!!!
오후 2시에 나오는데 그때 들어가는 줄이 5키로정도 되더라고요.. 최소1시간~2시간 걸려야 주차하실듯 했어요"
26,4.6,2023.10.20.,
27,5.0,2023.10.14.,
28,5.0,2023.10.09.,
29,3.4,2023.10.03.,"입장료가 아깝다. 경로, 아동 면제가 아예 없고 할인률도 적다. 관리가 안되어있고 직원이 없이 노인일자리 봉사자들이 서비스한다. 앉을 곳이 없고 볼것이 없다. 휠체어가 주차장에서 200미터 떨어져 있다. 충북도는 국고에 반납해라"
30,4.4,2023.09.29.,
31,3.6,2023.09.16.,"쉴곳이 너무없음
여름은 절대 가지 말것
타 죽음.."
32,3.8,2023.08.29.,"초등모임에서
충남,충북지역을 몇군데 들려
청남대도갔는데 날이 더워 애를 먹었다.
여행은 봄가을로다녀야 좋겠다.
청남대가 넓어서 좋긴한데
다둘러보기는 시간이애매하다.
담에는 시원할때 가봐야겠다."
33,4.1,2023.08.28.,다른 건 모르겠고 대통령 체험관이 재밌었습니다. 다음번엔 빈살만 코스프레라도 하고 가겠습니다. ㅋㅋ
34,4.1,2023.08.16.,"주차비 따로, 입장료 따로."
35,4.7,2023.08.01.,여름이라 더웠는데.  봄 가을에 방문하면 너무 좋을듯해요
36,2.7,2023.07.30.,십몇년만에 갔는데 변하긴 했네요. 뭐 가볼만 합니다. 그런데 기념품점에서 판매하는 마그네틱... 비싼데 자석이 너무므 약해서 아예 붙지를 않아요...ㅎㅎ
37,5.0,2023.07.25.,
38,4.9,2023.07.17.,과거 대통령 별장이었네요. 청와대 개방처럼 이곳도 개방돼서 그동안 대통령들의 휴식처를 볼 수 있어서 좋았습니다. 아름답네요. ㅎㅎ
39,3.2,2023.06.07.,
40,3.6,2023.06.06.,"청남대 가는 길이 좋다~
입장료 6천원, 깨끗하게 관리 되고 있음.
그냥 한번쯤 가보는 것으로 충분하고
애들 데리고 오기에는 놀 거리가 없고,
단체 관람 인원들이 있어서 북적거림.
그냥 숲에서 노는 거랑 비슷하다.
본관, 별관 둘러보는 데 몇 분 안 걸림."
41,4.0,2023.06.04.,"주차하고 화장실 들렀다 도착하니 16:35 
딱 5분 넘었는데 매표가 4시 반까지라고 
칼같이 끊어버립니다."
42,3.4,2023.06.02.,
43,4.4,2023.06.02.,"모든 사람들의 궁금점을 알수있는곳!!
사람 사는곳은 다 똑같다!
편의시설을 잘 가꾸어 놓은곳
시간 넉넉히 잡고 가족들 나들이 하기 좋아요"
44,4.1,2023.05.18.,산책하기 좋아요
45,5.0,2023.05.18.,
46,2.7,2023.05.07.,
47,4.4,2023.05.07.,"1시간 근교에서 오실 수 있다면, 그래도 한번은 관람에도 좋은 곳으로, 여유로운 시간을 가지고 가야 그 넓은 곳을 다 볼 수가 있다. 하지만 걷기 좋아하는 건강한 분들에게만 허락된다. 

만약 다 못 본다면 기념관(별관)과 음악분수와 메타세쿼이아 휴식, 약간은 오르기 힘들지만 전망대에는 꼭 가 보시길 추천 드린다. 

그리고 김밥, 샌드위치, 음료등을 챙겨 가신다면 청남대로 소풍온 기분을 제대로 느끼실 것이다."
48,4.2,2023.05.05.,
49,3.7,2023.05.04.,공기 맑고 몇시간 산책하기 좋습니다.
50,4.5,2023.04.15.,입장료는 성인 6천원에 주차료 2천원 별도입니다. 산책코스가 관리가 잘되어있었고 너무 넓어 다 둘러볼 수 없을 정도였습니다.
51,3.7,2023.04.15.,good
52,4.2,2023.04.15.,
53,3.6,2023.03.05.,전두환 기념하는 곳..제정신인지..
54,5.0,2023.01.16.,
55,3.7,2023.01.01.,"늦가을에 갔었는데 청남대를 첨알았어요
대통령휴가지 였다는데 전두환 사진이 많아서 툇!
한번 해주고 경치는 아주 좋았어요
코스가 좀 길어서 힘들었는데 고즈넉한 분위기
군데군데 쉴만한 벤치랑 정자가 있어서 좋았어요
대통령이 묵었던 별장도 가보고 여러가지로 특별한 경험이었어요"
56,3.6,2022.11.12.,관광지로서는 매력없음. 산책코스로는 최고.
57,4.2,2022.10.26.,
58,4.8,2022.09.17.,
59,3.7,2022.09.03.,너무 예뻐요. 9월말까지는 예약안하고 들어갈수 있다고 하는데 이후에는 인터넷에서 예약하고 정문주차장에 차놓고 들어가세요!
60,1.9,2022.08.23.,
61,5.0,2022.08.21.,
62,3.2,2022.08.13.,좋은 곳
