,평점,날짜,후기
0,3.7,2024.04.13.,"우선 직원들이 아주 친절합니다.

주차장도 넉넉해서 문제 없었고.

본체는 놀이기구가 아니라 키즈카페입니다. 거의 5시간 가까이 잘 놀고 갑니다.

음식은 냉동 식품 간이조리가 주인 것 같은데 이건 납득 가능할 수준입니다."
1,2.7,2024.04.10.,
2,3.8,2024.03.03.,"2시간에 12천이라니 정말 저렴함.
식사류 1만원당 1시간 추가 됨
키즈카페+ 야외 어린이 놀이이구가 조금 있는 형태로 유아~초 저 까지 놀기에 아주 좋음.
야외 놀이기구에 직원이 많아 만족함.
충주 놀러와서 어른들 재미있게 놀고 마지막으로 애들 즐겁게 여기 들리는 코스도 괜찮은 듯 함.

보고있나 김선태?"
3,4.8,2024.02.08.,"아이랑 잘 놀고 갑니다. 저렴하고 좋아요.
음식도 나쁘지 않아요."
4,4.8,2023.12.29.,
5,4.0,2023.09.15.,아이와 가도. 천천히 걸으러 가도 좋은곳. 탄금대와 연결되어 있어서 쭉 이어서 걸을 수 았음.
6,2.5,2023.08.29.,"오래되서 그런지 먼가 부족한느낌

앞에 공원에서 물놀이 잘하고 옵니다"
7,4.2,2023.08.20.,"아이들 놀기 딱 좋아요.
밖에서는 놀이기구 타다가 실내에 키즈카페에서 놀수도 있고요.
공원까지 해서 하루종일도 놀수 있겠어요."
8,2.7,2023.06.10.,시설이 잘  되어 있어 아주 좋아요~~
9,4.4,2023.06.08.,애기랑 놀기 좋은곳.
10,3.9,2023.05.09.,
11,5.0,2023.05.08.,
12,3.7,2022.11.21.,"미취학아동을 위한 놀이동산. 그 이상 그 이하도 아님.
내부 바이킹은 어른용 바이킹이니 아이들 참고할 것. 심지어 그 바이킹도 한 번만 공짜고 한 번 더 타려면 표를 사야한다고 하니..."
13,5.0,2022.06.26.,
14,1.0,2021.10.03.,"자유이용권인데   바이킹 3회,범퍼카3회밖에 못타게 제한해둠
웃긴건 바이킹은 1시간에 2회운영함
줄서있다가 2회운영하는동안 못타면 1시간 다시 기다려야함
왜 1시간에 2회만운영하는지에 대한 설명없음
시스템 최악이며, 외부음식 반입불가 . 다 자기들이 판매하는거만 먹어야함.
직원들 표정들 다 귀찮고 짜증나는 표정들임"
15,5.0,2021.05.17.,정말 good이에요!!!!!!
16,3.4,2018.02.17.,
17,3.6,2017.10.11.,"인간적으로 진짜 비오는 날은 할인되야하는거 아닌가요?
야외 놀이기구 하나도 못타고 실내에만 있는데"
