,평점,날짜,후기
0,4.3,2024.04.17.,스파비용이 투숙객 할인을 받아도 3-4만원 정도라 비싸다고 생각됐어요 하지만 와볼만은 함
1,3.0,2024.04.14.,"주차장부터 내부시설까지 다 엉망이었어요. 
전기차 주차하는 곳에서 하수구 냄새가 너무 심해서 숨참고 충전기 작동하는게 불가능해서 충전 포기하고 사우나 들어갔는데, 야외탕 중 공기 보글거리는 곳에서도 하수구 냄새 올라와서 어이없었어요. 
아이들이 노는 미끄럼틀 뒷쪽에는 철 구조물이 뾰족하게 튀어나와 있는데도 그물망으로만 덮어놔서 애기들이 다칠 것 같았고 수압 마사지 시설도 고장 나 있는게 많았는데 방치되어 있었어요. 
지하에 있는 습식 사우나는 들어가려고 문 열자마자 곰팡이 냄새가 나서 바로 나왔어요. 지하에 물에 몸담근 상태로 간식 먹을 수 있는 곳엔 기름기가 둥둥 떠있어서 도저히 이용할 수 없었어요. 왜 물에서 음식 먹는 곳인데 기름기가 있는 음식을 파는지 이해가 안됐어요. 
가격에 비해서 전반적으로 관리가 엉망이라 다시는 안 갈 것 같습니다."
2,4.0,2024.03.01.,"뷰는 정말 좋고 실내 수영장이 쾌적해서 좋았는데
하필 날씨가 추울때 방문해서그런가 실내풀에 차가운 바람이 엄청나게 들어왔습니다. 그리고 동선이 굉장히 꼬여있고 입장권 가격대비 굳이 와야하나? 라는 생각이 들더군요. 또한 남자 목욕탕 온탕에 온도 표시가 안되고 그 탕이 굉장히 뜨거웠습니다
그래도 한번은 와볼만하네요."
3,1.8,2024.02.24.,광고 사진 보고 스파도 하고 멋진 사진 찍으로 왔는데 밖에 수영장에 들었다가 여직원이 달려왔는데 꼭 모자 쓰라고 수영장에 저 모자 안쓰는 애들 보고 물어봤는데 애들이니까 상관없다고 그러네요 어른 꼭 쓰레요. 사진 때문에 모자 잠간 벗을려고 했는데 안된데요ㅜ밖에 추운데 수영장에 물 별로 따뜻하지 않아요
4,1.7,2024.02.09.,"먼저 결론부터 말하자면 별 하나도 주기 어렵습니다 별을 주지 않으면 글을 남길수가 없어 어쩔수 없이 하나 주고 후기를 남깁니다
오늘 제천 날씨가 영하권에서 시작했는데요
실외탕이 뷰가 좋아 입장하자마자 바로 실외탕으로 돌진했는데요 이쁜 뷰를 보며 느낀 만족은 잠시 몸이 너무 추워 견디기 힘들었습니다
탕 온도가 너무 낮아서...
그래서 일단 배나 채우고 실내탕을 즐기기로 했습니다 근데 금액대비 음식 양이 너무나 적어 실망했습니다 둘이 7만원이나 되는 금액을 지불하고 입장했는데 도대체 그 가치를 어디서도 찾을수가 없었습니다 그리고 찜질방 들어가는데 찜질복을 대여하려하니 추가금을 요구하더라구요.
더 이상 마음 다치기 싫어 바로 나와버렸습니다"
5,3.7,2024.02.09.,
6,5.0,2024.02.09.,
7,2.5,2024.01.23.,
8,3.6,2023.12.28.,"스파는 전반적으로 만족 하지만, 사상체질 스파존은 비추입니다. 태음인 무새에요. 개나소나 태음인이라고 하고 관리도 안되서 프로그램을 알아서 셀프로 진행해야 해요. 안내가 음슴요. 지문인식으로 체질 얘기하는데 쌩둥 맞아요. 여기 갈 돈으로 커피 사드세요."
9,2.5,2023.12.28.,여기는 고객센터 전화 안 받는 곳이더라구요
10,4.7,2023.12.24.,"2023.12.24 오후 1시인데 
스파는 마감되서 되돌아갑니다 ㅠㅠ 
락카가 다 차서 들어갈수가 없대요...."
11,4.7,2023.12.21.,"대구에서 제천여행중 좋다는 소문듣고 사우나하러 갔는데 수영복 있으면 노천탕 갈수있다는 사실을 사전에 몰라 안가지고 가서 노천탕을 못간게 너무 아쉬웠어요
탕안에 수건 샴푸 워시 스킨 로션 까지 다 있어 너무 좋았어요
다음엔 제대로 챙겨 가야겠어요"
12,4.7,2023.12.17.,
13,1.0,2023.12.17.,
14,3.7,2023.08.13.,물 개오지게더러움... 인피니티풀 타일에 물때랑 곰팡이 오지게 껴있고 어딜가나 탕에 때 둥둥떠다님... 점점가면갈수록 락스향이랑 동시에 찌린내도오지게올라옴... 하이고 뭔 호텔수영장이 어쩌다가 이렇게 수질관리가안된다냐...
15,3.7,2023.08.01.,
16,3.9,2023.07.23.,가을에 왔을 때는 한적했는데 여름 휴가철에는 확실히 사람들이 많네요! 티켓은 현장 구매보다 미리 예매하는 것이 훨씬 저렴합니다 야외 스파존은 운영 형태가 바뀌었는지 태블릿으로 예약 걸어두면 핸드폰으로 알림이 오네요! 그러니 야외스파존 이용하실 분들은 핸드폰 챙겨가셔야..! 인피니티풀은 뷰가 좋고 실내는 아이들이 놀이 좋아요! 유수풀 은근 재밌 ㅋㅋ
17,5.0,2023.06.13.,가는 길도 농협은행 몰라?
18,3.3,2023.05.12.,그냥그런데로 한번쯤가볼만한곳입니다
19,3.9,2023.03.27.,"애들이랑 놀러가기에는 아쉽지만 전반적으로 무난함.
SNS 하는 사람들에게는 꽤 좋은 곳이 될 것으로 생각됩니다."
20,3.2,2023.03.04.,좋아욥
21,3.9,2023.01.17.,"무난
뷰는 괜찮"
22,4.6,2022.11.21.,"입장료가 조금 비싸지만 이용전날 인터넷으로 구입하시면 저렴하게 살 수 있어요! 모자 꼭 착용해야하니까 잘 챙겨가세요. 
뷰가 좋고, 탕 종류가 많아 실내외로 다양하게 즐길 수 있어 좋습니다."
23,3.7,2022.08.21.,"이 가격에???????? 
겨울에 오면 좋을수도"
24,4.0,2022.07.23.,
25,3.6,2022.06.16.,수영보다는 가볍게 스파하기에 좋음.
26,3.5,2022.05.14.,
27,3.8,2022.03.31.,산속의힐링스파
28,4.1,2022.03.07.,
29,3.6,2021.12.06.,방문전 문의사항 있어서 계속 전화했는데 안받더니 방문하니 이것저것 있어야한다고...ㅠㅠ 처음 방문하는 사람은 어떡하라고 이렇게 운영하는지?
